timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/08/14 05:49:15.671, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.06 W
2026/08/14 05:49:16.683, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 74.99 W
2026/08/14 05:49:17.685, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.00 W
2026/08/14 05:49:18.688, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.36 W
2026/08/14 05:49:19.691, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.59 W
2026/08/14 05:49:20.693, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.54 W
2026/08/14 05:49:21.696, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:49:22.699, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.48 W
2026/08/14 05:49:23.702, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.55 W
2026/08/14 05:49:24.705, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.42 W
2026/08/14 05:49:25.708, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:49:26.710, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.52 W
2026/08/14 05:49:27.713, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:49:28.716, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.54 W
2026/08/14 05:49:29.718, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.58 W
2026/08/14 05:49:30.721, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:49:31.724, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.48 W
2026/08/14 05:49:32.726, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.49 W
2026/08/14 05:49:33.729, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.44 W
2026/08/14 05:49:34.732, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.59 W
2026/08/14 05:49:35.736, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:49:36.741, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.44 W
2026/08/14 05:49:37.745, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.55 W
2026/08/14 05:49:38.749, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:49:39.752, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:49:40.757, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.58 W
2026/08/14 05:49:41.759, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.38 W
2026/08/14 05:49:42.764, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.53 W
2026/08/14 05:49:43.766, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.44 W
2026/08/14 05:49:44.773, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.58 W
2026/08/14 05:49:45.775, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:49:46.779, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.58 W
2026/08/14 05:49:47.782, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.52 W
2026/08/14 05:49:48.784, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.52 W
2026/08/14 05:49:49.787, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:49:50.791, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.52 W
2026/08/14 05:49:51.794, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:49:52.796, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.46 W
2026/08/14 05:49:53.800, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.45 W
2026/08/14 05:49:54.803, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.49 W
2026/08/14 05:49:55.806, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:49:56.809, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:49:57.812, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.44 W
2026/08/14 05:49:58.816, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:49:59.819, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:50:00.822, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.48 W
2026/08/14 05:50:01.826, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:50:02.830, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:50:03.833, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.40 W
2026/08/14 05:50:04.836, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:05.839, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.52 W
2026/08/14 05:50:06.843, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.43 W
2026/08/14 05:50:07.846, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.48 W
2026/08/14 05:50:08.850, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:09.855, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:50:10.859, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:11.864, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.48 W
2026/08/14 05:50:12.867, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:50:13.875, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:50:14.878, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:15.885, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:50:16.889, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.46 W
2026/08/14 05:50:17.893, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:18.897, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.55 W
2026/08/14 05:50:19.900, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.43 W
2026/08/14 05:50:20.903, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:21.905, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:22.908, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.46 W
2026/08/14 05:50:23.911, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:50:24.915, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.46 W
2026/08/14 05:50:25.918, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.48 W
2026/08/14 05:50:26.921, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:27.924, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.51 W
2026/08/14 05:50:28.928, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.54 W
2026/08/14 05:50:29.931, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.54 W
2026/08/14 05:50:30.934, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.50 W
2026/08/14 05:50:31.938, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.54 W
2026/08/14 05:50:32.941, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.47 W
2026/08/14 05:50:33.945, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.53 W
2026/08/14 05:50:34.948, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.53 W
2026/08/14 05:50:35.951, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 75.52 W
2026/08/14 05:50:36.953, 0, NVIDIA H200, 527 MiB, 143771 MiB, 3 %, 95.87 W
2026/08/14 05:50:37.956, 0, NVIDIA H200, 64539 MiB, 143771 MiB, 0 %, 114.36 W
2026/08/14 05:50:38.959, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 0 %, 114.26 W
2026/08/14 05:50:39.963, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.53 W
2026/08/14 05:50:40.966, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 5 %, 114.80 W
2026/08/14 05:50:41.971, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 0 %, 114.54 W
2026/08/14 05:50:42.974, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.54 W
2026/08/14 05:50:43.977, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.74 W
2026/08/14 05:50:44.981, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.57 W
2026/08/14 05:50:45.984, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.52 W
2026/08/14 05:50:46.989, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.71 W
2026/08/14 05:50:47.994, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.72 W
2026/08/14 05:50:48.996, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.65 W
2026/08/14 05:50:49.999, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.78 W
2026/08/14 05:50:51.002, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.69 W
2026/08/14 05:50:52.006, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.61 W
2026/08/14 05:50:53.011, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.85 W
2026/08/14 05:50:54.015, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.78 W
2026/08/14 05:50:55.019, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.61 W
2026/08/14 05:50:56.024, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.78 W
2026/08/14 05:50:57.027, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.76 W
2026/08/14 05:50:58.033, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 3 %, 114.43 W
2026/08/14 05:50:59.036, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.87 W
2026/08/14 05:51:00.042, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.75 W
2026/08/14 05:51:01.047, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.71 W
2026/08/14 05:51:02.049, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.88 W
2026/08/14 05:51:03.052, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.89 W
2026/08/14 05:51:04.055, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.76 W
2026/08/14 05:51:05.060, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.97 W
2026/08/14 05:51:06.064, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.89 W
2026/08/14 05:51:07.067, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.71 W
2026/08/14 05:51:08.071, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.98 W
2026/08/14 05:51:09.075, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 2 %, 114.82 W
2026/08/14 05:51:10.078, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.86 W
2026/08/14 05:51:11.083, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.94 W
2026/08/14 05:51:12.086, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 0 %, 114.81 W
2026/08/14 05:51:13.089, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.81 W
2026/08/14 05:51:14.092, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.96 W
2026/08/14 05:51:15.097, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 1 %, 114.74 W
2026/08/14 05:51:16.101, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.91 W
2026/08/14 05:51:17.105, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 4 %, 114.90 W
2026/08/14 05:51:18.109, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 0 %, 114.73 W
2026/08/14 05:51:19.113, 0, NVIDIA H200, 64931 MiB, 143771 MiB, 0 %, 114.34 W
2026/08/14 05:51:20.117, 0, NVIDIA H200, 66661 MiB, 143771 MiB, 0 %, 114.60 W
2026/08/14 05:51:21.121, 0, NVIDIA H200, 66701 MiB, 143771 MiB, 0 %, 114.77 W
2026/08/14 05:51:22.125, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.59 W
2026/08/14 05:51:23.128, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.53 W
2026/08/14 05:51:24.131, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.46 W
2026/08/14 05:51:25.134, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.57 W
2026/08/14 05:51:26.138, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.40 W
2026/08/14 05:51:27.141, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.41 W
2026/08/14 05:51:28.146, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.48 W
2026/08/14 05:51:29.149, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.46 W
2026/08/14 05:51:30.155, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.51 W
2026/08/14 05:51:31.158, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.44 W
2026/08/14 05:51:32.163, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.54 W
2026/08/14 05:51:33.167, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.45 W
2026/08/14 05:51:34.172, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.49 W
2026/08/14 05:51:35.175, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.46 W
2026/08/14 05:51:36.180, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.48 W
2026/08/14 05:51:37.184, 0, NVIDIA H200, 65661 MiB, 143771 MiB, 0 %, 114.47 W
