timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/08/14 05:49:19.504, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.88 W
2026/08/14 05:49:20.517, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.97 W
2026/08/14 05:49:21.519, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.91 W
2026/08/14 05:49:22.521, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:49:23.524, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.91 W
2026/08/14 05:49:24.526, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:49:25.528, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.88 W
2026/08/14 05:49:26.531, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.92 W
2026/08/14 05:49:27.534, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.84 W
2026/08/14 05:49:28.536, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.88 W
2026/08/14 05:49:29.539, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.92 W
2026/08/14 05:49:30.541, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:49:31.543, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:49:32.545, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.85 W
2026/08/14 05:49:33.548, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.82 W
2026/08/14 05:49:34.550, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.84 W
2026/08/14 05:49:35.552, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.84 W
2026/08/14 05:49:36.554, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.95 W
2026/08/14 05:49:37.556, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.99 W
2026/08/14 05:49:38.558, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.04 W
2026/08/14 05:49:39.561, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.04 W
2026/08/14 05:49:40.564, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:49:41.566, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.02 W
2026/08/14 05:49:42.570, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:49:43.571, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:49:44.574, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.00 W
2026/08/14 05:49:45.577, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.90 W
2026/08/14 05:49:46.579, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:49:47.582, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.81 W
2026/08/14 05:49:48.584, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.78 W
2026/08/14 05:49:49.587, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.90 W
2026/08/14 05:49:50.590, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:49:51.593, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:49:52.595, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.99 W
2026/08/14 05:49:53.597, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.87 W
2026/08/14 05:49:54.601, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.89 W
2026/08/14 05:49:55.602, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:49:56.608, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:49:57.611, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:49:58.614, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.01 W
2026/08/14 05:49:59.615, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.01 W
2026/08/14 05:50:00.617, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.02 W
2026/08/14 05:50:01.622, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.01 W
2026/08/14 05:50:02.624, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.02 W
2026/08/14 05:50:03.626, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.06 W
2026/08/14 05:50:04.628, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.03 W
2026/08/14 05:50:05.630, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.02 W
2026/08/14 05:50:06.633, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.99 W
2026/08/14 05:50:07.636, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.98 W
2026/08/14 05:50:08.639, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.95 W
2026/08/14 05:50:09.641, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.00 W
2026/08/14 05:50:10.643, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:50:11.646, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.03 W
2026/08/14 05:50:12.649, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.08 W
2026/08/14 05:50:13.651, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.00 W
2026/08/14 05:50:14.654, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:50:15.658, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:50:16.661, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:50:17.663, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.91 W
2026/08/14 05:50:18.665, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:50:19.668, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:50:20.670, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.88 W
2026/08/14 05:50:21.673, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.89 W
2026/08/14 05:50:22.675, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:50:23.678, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:50:24.680, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.98 W
2026/08/14 05:50:25.683, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.91 W
2026/08/14 05:50:26.687, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:50:27.689, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.85 W
2026/08/14 05:50:28.692, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.93 W
2026/08/14 05:50:29.695, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:50:30.697, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.91 W
2026/08/14 05:50:31.700, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.04 W
2026/08/14 05:50:32.703, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.02 W
2026/08/14 05:50:33.707, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 81.01 W
2026/08/14 05:50:34.710, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:50:35.712, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.94 W
2026/08/14 05:50:36.714, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.92 W
2026/08/14 05:50:37.717, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.95 W
2026/08/14 05:50:38.719, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.89 W
2026/08/14 05:50:39.723, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.98 W
2026/08/14 05:50:40.725, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.87 W
2026/08/14 05:50:41.727, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 80.96 W
2026/08/14 05:50:42.729, 0, NVIDIA H200, 755 MiB, 143771 MiB, 0 %, 110.75 W
2026/08/14 05:50:43.732, 0, NVIDIA H200, 27495 MiB, 143771 MiB, 1 %, 125.56 W
2026/08/14 05:50:44.737, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 0 %, 125.17 W
2026/08/14 05:50:45.739, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.24 W
2026/08/14 05:50:46.742, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.15 W
2026/08/14 05:50:47.744, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.19 W
2026/08/14 05:50:48.750, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.17 W
2026/08/14 05:50:49.753, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 0 %, 125.23 W
2026/08/14 05:50:50.759, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 3 %, 125.24 W
2026/08/14 05:50:51.761, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.22 W
2026/08/14 05:50:52.765, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 3 %, 125.25 W
2026/08/14 05:50:53.767, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.23 W
2026/08/14 05:50:54.770, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 3 %, 125.21 W
2026/08/14 05:50:55.773, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 3 %, 125.03 W
2026/08/14 05:50:56.779, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 2 %, 125.13 W
2026/08/14 05:50:57.781, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 125.19 W
2026/08/14 05:50:58.793, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 0 %, 125.17 W
2026/08/14 05:51:00.289, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 5 %, 125.26 W
2026/08/14 05:51:01.293, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 125.16 W
2026/08/14 05:51:02.297, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 125.14 W
2026/08/14 05:51:03.300, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 3 %, 124.97 W
2026/08/14 05:51:04.305, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.96 W
2026/08/14 05:51:05.309, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 125.06 W
2026/08/14 05:51:06.314, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.91 W
2026/08/14 05:51:07.317, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 125.01 W
2026/08/14 05:51:08.321, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.97 W
2026/08/14 05:51:09.326, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.76 W
2026/08/14 05:51:10.329, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.93 W
2026/08/14 05:51:11.331, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.75 W
2026/08/14 05:51:12.333, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.74 W
2026/08/14 05:51:13.337, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.83 W
2026/08/14 05:51:14.340, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.85 W
2026/08/14 05:51:15.343, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 0 %, 124.81 W
2026/08/14 05:51:16.346, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.85 W
2026/08/14 05:51:17.349, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.82 W
2026/08/14 05:51:18.351, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 0 %, 124.78 W
2026/08/14 05:51:19.353, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.80 W
2026/08/14 05:51:20.356, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 124.83 W
