timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/08/14 05:49:11.857, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.16 W
2026/08/14 05:49:12.867, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.64 W
2026/08/14 05:49:13.872, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 79.05 W
2026/08/14 05:49:14.875, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.88 W
2026/08/14 05:49:15.878, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.59 W
2026/08/14 05:49:16.881, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.16 W
2026/08/14 05:49:17.883, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.96 W
2026/08/14 05:49:18.885, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.93 W
2026/08/14 05:49:19.887, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.02 W
2026/08/14 05:49:20.890, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.09 W
2026/08/14 05:49:21.892, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.04 W
2026/08/14 05:49:22.894, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.03 W
2026/08/14 05:49:23.896, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.21 W
2026/08/14 05:49:24.898, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.75 W
2026/08/14 05:49:25.901, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 79.05 W
2026/08/14 05:49:26.903, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.93 W
2026/08/14 05:49:27.905, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.36 W
2026/08/14 05:49:28.908, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.01 W
2026/08/14 05:49:29.913, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.87 W
2026/08/14 05:49:30.916, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.95 W
2026/08/14 05:49:31.919, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.10 W
2026/08/14 05:49:32.923, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.10 W
2026/08/14 05:49:33.925, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.04 W
2026/08/14 05:49:34.928, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.03 W
2026/08/14 05:49:35.930, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.29 W
2026/08/14 05:49:36.933, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.76 W
2026/08/14 05:49:37.937, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 79.03 W
2026/08/14 05:49:38.939, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.92 W
2026/08/14 05:49:39.943, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.50 W
2026/08/14 05:49:40.949, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.99 W
2026/08/14 05:49:41.952, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.92 W
2026/08/14 05:49:42.963, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.93 W
2026/08/14 05:49:43.966, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.07 W
2026/08/14 05:49:44.972, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.12 W
2026/08/14 05:49:45.975, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.03 W
2026/08/14 05:49:46.978, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.06 W
2026/08/14 05:49:47.981, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.28 W
2026/08/14 05:49:48.986, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.79 W
2026/08/14 05:49:49.990, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.98 W
2026/08/14 05:49:50.993, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.85 W
2026/08/14 05:49:51.995, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.34 W
2026/08/14 05:49:52.998, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.06 W
2026/08/14 05:49:54.002, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.84 W
2026/08/14 05:49:55.008, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.91 W
2026/08/14 05:49:56.012, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.04 W
2026/08/14 05:49:57.015, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.03 W
2026/08/14 05:49:58.018, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.03 W
2026/08/14 05:49:59.021, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.02 W
2026/08/14 05:50:00.024, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.39 W
2026/08/14 05:50:01.027, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.86 W
2026/08/14 05:50:02.031, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.96 W
2026/08/14 05:50:03.033, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.70 W
2026/08/14 05:50:04.036, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.26 W
2026/08/14 05:50:05.039, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.97 W
2026/08/14 05:50:06.042, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.87 W
2026/08/14 05:50:07.046, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 77.91 W
2026/08/14 05:50:08.049, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.10 W
2026/08/14 05:50:09.053, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.10 W
2026/08/14 05:50:10.056, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.00 W
2026/08/14 05:50:11.058, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.09 W
2026/08/14 05:50:12.061, 0, NVIDIA H200, 4 MiB, 143771 MiB, 0 %, 78.46 W
2026/08/14 05:50:13.064, 0, NVIDIA H200, 723 MiB, 143771 MiB, 0 %, 108.65 W
2026/08/14 05:50:14.067, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 1 %, 119.24 W
2026/08/14 05:50:15.070, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 5 %, 118.98 W
2026/08/14 05:50:16.073, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 5 %, 118.79 W
2026/08/14 05:50:17.077, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 1 %, 118.45 W
2026/08/14 05:50:18.082, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.48 W
2026/08/14 05:50:19.084, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.55 W
2026/08/14 05:50:20.088, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.61 W
2026/08/14 05:50:21.091, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.71 W
2026/08/14 05:50:22.094, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.68 W
2026/08/14 05:50:23.098, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.78 W
2026/08/14 05:50:24.101, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 119.42 W
2026/08/14 05:50:25.103, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 3 %, 119.76 W
2026/08/14 05:50:26.107, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 119.46 W
2026/08/14 05:50:27.129, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 119.03 W
2026/08/14 05:50:28.134, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.74 W
2026/08/14 05:50:29.138, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.59 W
2026/08/14 05:50:30.141, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.86 W
2026/08/14 05:50:31.145, 0, NVIDIA H200, 64867 MiB, 143771 MiB, 4 %, 118.94 W
